title,artist,rank,genre
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,79,hip-hop-rb-songs
Selfish,PnB Rock,80,hip-hop-rb-songs
I Fall Apart,Post Malone,81,hip-hop-rb-songs
Relationship,Young Thug Featuring Future,82,hip-hop-rb-songs
Gyalchester,Drake,83,hip-hop-rb-songs
Transportin',Kodak Black,84,hip-hop-rb-songs
Selfish,Future Featuring Rihanna,85,hip-hop-rb-songs
B.E.D.,Jacquees,86,hip-hop-rb-songs
Broccoli,D.R.A.M. Featuring Lil Yachty,87,hip-hop-rb-songs
F**k Love,XXXTENTACION Featuring Trippie Redd,88,hip-hop-rb-songs
4 AM,2 Chainz Featuring Travis Scott,89,hip-hop-rb-songs
Neighbors,J. Cole,90,hip-hop-rb-songs
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",91,hip-hop-rb-songs
No Frauds,"Nicki Minaj, Drake & Lil Wayne",92,hip-hop-rb-songs
Sneakin',Drake Featuring 21 Savage,93,hip-hop-rb-songs
Sauce It Up,Lil Uzi Vert,94,hip-hop-rb-songs
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",95,hip-hop-rb-songs
Prblms,6LACK,96,hip-hop-rb-songs
You Was Right,Lil Uzi Vert,97,hip-hop-rb-songs
Questions,Chris Brown,98,hip-hop-rb-songs
No Complaints,Metro Boomin Featuring Offset & Drake,99,hip-hop-rb-songs
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,100,hip-hop-rb-songs
God's Plan,Drake,1,hip-hop-rb-songs
I Like It,"Cardi B, Bad Bunny & J Balvin",2,hip-hop-rb-songs
In My Feelings,Drake,3,hip-hop-rb-songs
Psycho,Post Malone Featuring Ty Dolla $ign,4,hip-hop-rb-songs
Nice For What,Drake,5,hip-hop-rb-songs
Rockstar,Post Malone Featuring 21 Savage,6,hip-hop-rb-songs
Lucid Dreams,Juice WRLD,7,hip-hop-rb-songs
Better Now,Post Malone,8,hip-hop-rb-songs
Finesse,Bruno Mars & Cardi B,9,hip-hop-rb-songs
Boo'd Up,Ella Mai,10,hip-hop-rb-songs
Look Alive,BlocBoy JB Featuring Drake,11,hip-hop-rb-songs
Sad!,XXXTENTACION,12,hip-hop-rb-songs
Yes Indeed,Lil Baby & Drake,13,hip-hop-rb-songs
Taste,Tyga Featuring Offset,14,hip-hop-rb-songs
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,15,hip-hop-rb-songs
MotorSport,"Migos, Nicki Minaj & Cardi B",16,hip-hop-rb-songs
Let You Down,NF,17,hip-hop-rb-songs
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,18,hip-hop-rb-songs
Pray For Me,The Weeknd & Kendrick Lamar,19,hip-hop-rb-songs
Gucci Gang,Lil Pump,20,hip-hop-rb-songs
Sicko Mode,Travis Scott,21,hip-hop-rb-songs
Walk It Talk It,Migos Featuring Drake,22,hip-hop-rb-songs
Him & I,G-Eazy & Halsey,23,hip-hop-rb-songs
Stir Fry,Migos,24,hip-hop-rb-songs
All The Stars,Kendrick Lamar & SZA,25,hip-hop-rb-songs
This Is America,Childish Gambino,26,hip-hop-rb-songs
Nonstop,Drake,27,hip-hop-rb-songs
I Fall Apart,Post Malone,28,hip-hop-rb-songs
Freaky Friday,Lil Dicky Featuring Chris Brown,29,hip-hop-rb-songs
Gummo,6ix9ine,30,hip-hop-rb-songs
Ric Flair Drip,Offset & Metro Boomin,31,hip-hop-rb-songs
Be Careful,Cardi B,32,hip-hop-rb-songs
Plug Walk,Rich The Kid,33,hip-hop-rb-songs
Bartier Cardi,Cardi B Featuring 21 Savage,34,hip-hop-rb-songs
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",35,hip-hop-rb-songs
Love.,Kendrick Lamar Featuring Zacari,36,hip-hop-rb-songs
Moonlight,XXXTENTACION,37,hip-hop-rb-songs
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",38,hip-hop-rb-songs
Plain Jane,A$AP Ferg Featuring Nicki Minaj,39,hip-hop-rb-songs
I Get The Bag,Gucci Mane Featuring Migos,40,hip-hop-rb-songs
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",41,hip-hop-rb-songs
Lemon,N*E*R*D & Rihanna,42,hip-hop-rb-songs
Call Out My Name,The Weeknd,43,hip-hop-rb-songs
Bodak Yellow (Money Moves),Cardi B,44,hip-hop-rb-songs
I'm Upset,Drake,45,hip-hop-rb-songs
Trip,Ella Mai,46,hip-hop-rb-songs
Sky Walker,Miguel Featuring Travis Scott,47,hip-hop-rb-songs
Outside Today,YoungBoy Never Broke Again,48,hip-hop-rb-songs
Chun-Li,Nicki Minaj,49,hip-hop-rb-songs
Changes,XXXTENTACION,50,hip-hop-rb-songs
Powerglide,Rae Sremmurd & Juicy J,51,hip-hop-rb-songs
River,Eminem Featuring Ed Sheeran,52,hip-hop-rb-songs
Apes**t,The Carters,53,hip-hop-rb-songs
New Freezer,Rich The Kid Featuring Kendrick Lamar,54,hip-hop-rb-songs
All Girls Are The Same,Juice WRLD,55,hip-hop-rb-songs
I Love It,Kanye West & Lil Pump,56,hip-hop-rb-songs
Drip Too Hard,Lil Baby & Gunna,57,hip-hop-rb-songs
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,58,hip-hop-rb-songs
Mo Bamba,Sheck Wes,59,hip-hop-rb-songs
Japan,Famous Dex,60,hip-hop-rb-songs
Ring,Cardi B Featuring Kehlani,61,hip-hop-rb-songs
Candy Paint,Post Malone,62,hip-hop-rb-songs
Rubbin Off The Paint,YBN Nahmir,63,hip-hop-rb-songs
Pick It Up,Famous Dex Featuring A$AP Rocky,64,hip-hop-rb-songs
Roll In Peace,Kodak Black Featuring XXXTENTACION,65,hip-hop-rb-songs
Young Dumb & Broke,Khalid,66,hip-hop-rb-songs
Medicine,Queen Naija,67,hip-hop-rb-songs
KOD,J. Cole,68,hip-hop-rb-songs
Bank Account,21 Savage,69,hip-hop-rb-songs
Ball For Me,Post Malone Featuring Nicki Minaj,70,hip-hop-rb-songs
Lucky You,Eminem Featuring Joyner Lucas,71,hip-hop-rb-songs
Red Roses,Lil Skies Featuring Landon Cube,72,hip-hop-rb-songs
Betrayed,Lil Xan,73,hip-hop-rb-songs
OTW,"Khalid, Ty Dolla $ign & 6LACK",74,hip-hop-rb-songs
Esskeetit,Lil Pump,75,hip-hop-rb-songs
Everyday,Logic & Marshmello,76,hip-hop-rb-songs
Narcos,Migos,77,hip-hop-rb-songs
Lie,NF,78,hip-hop-rb-songs
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",79,hip-hop-rb-songs
ZEZE,Kodak Black Featuring Travis Scott & Offset,80,hip-hop-rb-songs
Nowadays,Lil Skies Featuring Landon Cube,81,hip-hop-rb-songs
That's On Me,Yella Beezy,82,hip-hop-rb-songs
Killshot,Eminem,83,hip-hop-rb-songs
Codeine Dreaming,Kodak Black Featuring Lil Wayne,84,hip-hop-rb-songs
The Weekend,SZA,85,hip-hop-rb-songs
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,86,hip-hop-rb-songs
Drip,Cardi B Featuring Migos,87,hip-hop-rb-songs
No Smoke,YoungBoy Never Broke Again,88,hip-hop-rb-songs
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,89,hip-hop-rb-songs
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,90,hip-hop-rb-songs
Best Part,Daniel Caesar Featuring H.E.R.,91,hip-hop-rb-songs
Kooda,6ix9ine,92,hip-hop-rb-songs
W O R K I N  M E,Quavo,93,hip-hop-rb-songs
Mob Ties,Drake,94,hip-hop-rb-songs
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,95,hip-hop-rb-songs
All Mine,Kanye West,96,hip-hop-rb-songs
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,97,hip-hop-rb-songs
Stargazing,Travis Scott,98,hip-hop-rb-songs
Uproar,Lil Wayne,99,hip-hop-rb-songs
F**k Love,XXXTENTACION Featuring Trippie Redd,100,hip-hop-rb-songs
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,hip-hop-rb-songs
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,hip-hop-rb-songs
Talk,Khalid,3,hip-hop-rb-songs
Wow.,Post Malone,4,hip-hop-rb-songs
Truth Hurts,Lizzo,5,hip-hop-rb-songs
Sicko Mode,Travis Scott,6,hip-hop-rb-songs
No Guidance,Chris Brown Featuring Drake,7,hip-hop-rb-songs
Middle Child,J. Cole,8,hip-hop-rb-songs
Going Bad,Meek Mill Featuring Drake,9,hip-hop-rb-songs
Ran$om,Lil Tecca,10,hip-hop-rb-songs
Suge,DaBaby,11,hip-hop-rb-songs
Better,Khalid,12,hip-hop-rb-songs
Goodbyes,Post Malone Featuring Young Thug,13,hip-hop-rb-songs
ZEZE,Kodak Black Featuring Travis Scott & Offset,14,hip-hop-rb-songs
Money In The Grave,Drake Featuring Rick Ross,15,hip-hop-rb-songs
Drip Too Hard,Lil Baby & Gunna,16,hip-hop-rb-songs
Please Me,Cardi B & Bruno Mars,17,hip-hop-rb-songs
Money,Cardi B,18,hip-hop-rb-songs
A Lot,21 Savage,19,hip-hop-rb-songs
Panini,Lil Nas X,20,hip-hop-rb-songs
Thotiana,Blueface,21,hip-hop-rb-songs
Pop Out,Polo G Featuring Lil Tjay,22,hip-hop-rb-songs
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,23,hip-hop-rb-songs
Pure Water,Mustard & Migos,24,hip-hop-rb-songs
Look Back At It,A Boogie Wit da Hoodie,25,hip-hop-rb-songs
Mo Bamba,Sheck Wes,26,hip-hop-rb-songs
Envy Me,Calboy,27,hip-hop-rb-songs
Act Up,City Girls,28,hip-hop-rb-songs
The London,"Young Thug, J. Cole & Travis Scott",29,hip-hop-rb-songs
Murder On My Mind,YNW Melly,30,hip-hop-rb-songs
Leave Me Alone,Flipp Dinero,31,hip-hop-rb-songs
My Type,Saweetie,32,hip-hop-rb-songs
Worth It,YK Osiris,33,hip-hop-rb-songs
Better Now,Post Malone,34,hip-hop-rb-songs
Close Friends,Lil Baby,35,hip-hop-rb-songs
Clout,Offset Featuring Cardi B,36,hip-hop-rb-songs
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,37,hip-hop-rb-songs
Baby,Lil Baby & DaBaby,38,hip-hop-rb-songs
Trip,Ella Mai,39,hip-hop-rb-songs
Shotta Flow,NLE Choppa,40,hip-hop-rb-songs
Cash Shit,Megan Thee Stallion Featuring DaBaby,41,hip-hop-rb-songs
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",42,hip-hop-rb-songs
Robbery,Juice WRLD,43,hip-hop-rb-songs
Lucid Dreams,Juice WRLD,44,hip-hop-rb-songs
Go Loko,"YG, Tyga & Jon Z",45,hip-hop-rb-songs
EARFQUAKE,"Tyler, The Creator",46,hip-hop-rb-songs
Good As Hell,Lizzo,47,hip-hop-rb-songs
Girls Need Love,Summer Walker X Drake,48,hip-hop-rb-songs
Mixed Personalities,YNW Melly Featuring Kanye West,49,hip-hop-rb-songs
On Chill,Wale Featuring Jeremih,50,hip-hop-rb-songs
Sanguine Paradise,Lil Uzi Vert,51,hip-hop-rb-songs
Hot,Young Thug Featuring Gunna,52,hip-hop-rb-songs
Put A Date On It,Yo Gotti Featuring Lil Baby,53,hip-hop-rb-songs
Armed And Dangerous,Juice WRLD,54,hip-hop-rb-songs
Press,Cardi B,55,hip-hop-rb-songs
Calling My Spirit,Kodak Black,56,hip-hop-rb-songs
Twerk,City Girls Featuring Cardi B,57,hip-hop-rb-songs
Ballin',Mustard & Roddy Ricch,58,hip-hop-rb-songs
Backin' It Up,Pardison Fontaine Featuring Cardi B,59,hip-hop-rb-songs
Uproar,Lil Wayne,60,hip-hop-rb-songs
Pure Cocaine,Lil Baby,61,hip-hop-rb-songs
Lalala,Y2K & bbno$,62,hip-hop-rb-songs
Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,63,hip-hop-rb-songs
Time,NF,64,hip-hop-rb-songs
HIGHEST IN THE ROOM,Travis Scott,65,hip-hop-rb-songs
24/7,Meek Mill Featuring Ella Mai,66,hip-hop-rb-songs
Big Ole Freak,Megan Thee Stallion,67,hip-hop-rb-songs
Just Us,DJ Khaled Featuring SZA,68,hip-hop-rb-songs
Before I Let Go,Beyonce,69,hip-hop-rb-songs
Saturday Nights,Khalid & Kane Brown,70,hip-hop-rb-songs
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,71,hip-hop-rb-songs
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,72,hip-hop-rb-songs
Shot Clock,Ella Mai,73,hip-hop-rb-songs
Baby Sitter,DaBaby Featuring Offset,74,hip-hop-rb-songs
Playing Games,Summer Walker,75,hip-hop-rb-songs
BAD!,XXXTENTACION,76,hip-hop-rb-songs
Undecided,Chris Brown,77,hip-hop-rb-songs
Talk To Me,Tory Lanez & Rich The Kid,78,hip-hop-rb-songs
Faucet Failure,Ski Mask The Slump God,79,hip-hop-rb-songs
It's You,Ali Gatie,80,hip-hop-rb-songs
223's,YNW Melly & 9lokknine,81,hip-hop-rb-songs
Bandit,Juice WRLD & YoungBoy Never Broke Again,82,hip-hop-rb-songs
Heat,Chris Brown Featuring Gunna,83,hip-hop-rb-songs
Enemies,Post Malone Featuring DaBaby,84,hip-hop-rb-songs
Homicide,Logic Featuring Eminem,85,hip-hop-rb-songs
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,86,hip-hop-rb-songs
No Stylist,French Montana Featuring Drake,87,hip-hop-rb-songs
Ring,Cardi B Featuring Kehlani,88,hip-hop-rb-songs
F.N,Lil Tjay,89,hip-hop-rb-songs
Juice,Lizzo,90,hip-hop-rb-songs
You,Jacquees,91,hip-hop-rb-songs
Rodeo,Lil Nas X & Cardi B Or Nas,92,hip-hop-rb-songs
Camelot,NLE Choppa,93,hip-hop-rb-songs
Nights Like This,Kehlani Featuring Ty Dolla $ign,94,hip-hop-rb-songs
Tap,NAV Featuring Meek Mill,95,hip-hop-rb-songs
Hot Girl Bummer,blackbear,96,hip-hop-rb-songs
Bad Bad Bad,Young Thug Featuring Lil Baby,97,hip-hop-rb-songs
INTRO,DaBaby,98,hip-hop-rb-songs
Lost In The Fire,Gesaffelstein & The Weeknd,99,hip-hop-rb-songs
I,Lil Skies,100,hip-hop-rb-songs
Blinding Lights,The Weeknd,1,hip-hop-rb-songs
The Box,Roddy Ricch,2,hip-hop-rb-songs
Rockstar,DaBaby Featuring Roddy Ricch,3,hip-hop-rb-songs
Life Is Good,Future Featuring Drake,4,hip-hop-rb-songs
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",5,hip-hop-rb-songs
Roxanne,Arizona Zervas,6,hip-hop-rb-songs
Savage,Megan Thee Stallion,7,hip-hop-rb-songs
Say So,Doja Cat,8,hip-hop-rb-songs
Intentions,Justin Bieber Featuring Quavo,9,hip-hop-rb-songs
WAP,Cardi B Featuring Megan Thee Stallion,10,hip-hop-rb-songs
Heartless,The Weeknd,11,hip-hop-rb-songs
Toosie Slide,Drake,12,hip-hop-rb-songs
Blueberry Faygo,Lil Mosey,13,hip-hop-rb-songs
BOP,DaBaby,14,hip-hop-rb-songs
Go Crazy,Chris Brown & Young Thug,15,hip-hop-rb-songs
Good As Hell,Lizzo,16,hip-hop-rb-songs
Hot Girl Bummer,blackbear,17,hip-hop-rb-songs
Falling,Trevor Daniel,18,hip-hop-rb-songs
Woah,Lil Baby,19,hip-hop-rb-songs
Laugh Now Cry Later,Drake Featuring Lil Durk,20,hip-hop-rb-songs
Ballin',Mustard & Roddy Ricch,21,hip-hop-rb-songs
High Fashion,Roddy Ricch Featuring Mustard,22,hip-hop-rb-songs
HIGHEST IN THE ROOM,Travis Scott,23,hip-hop-rb-songs
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,24,hip-hop-rb-songs
Sum 2 Prove,Lil Baby,25,hip-hop-rb-songs
Heart On Ice,Rod Wave,26,hip-hop-rb-songs
We Paid,Lil Baby & 42 Dugg,27,hip-hop-rb-songs
Yummy,Justin Bieber,28,hip-hop-rb-songs
Godzilla,Eminem Featuring Juice WRLD,29,hip-hop-rb-songs
Emotionally Scarred,Lil Baby,30,hip-hop-rb-songs
Bandit,Juice WRLD & YoungBoy Never Broke Again,31,hip-hop-rb-songs
Party Girl,StaySolidRocky,32,hip-hop-rb-songs
Suicidal,YNW Melly & Juice WRLD,33,hip-hop-rb-songs
Popstar,DJ Khaled Featuring Drake,34,hip-hop-rb-songs
Hot,Young Thug Featuring Gunna,35,hip-hop-rb-songs
The Bigger Picture,Lil Baby,36,hip-hop-rb-songs
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,37,hip-hop-rb-songs
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",38,hip-hop-rb-songs
Dior,Pop Smoke,39,hip-hop-rb-songs
Mood Swings,Pop Smoke Featuring Lil Tjay,40,hip-hop-rb-songs
Rags2Riches,Rod Wave Featuring ATR Son Son,41,hip-hop-rb-songs
No Guidance,Chris Brown Featuring Drake,42,hip-hop-rb-songs
Slide,H.E.R. Featuring YG,43,hip-hop-rb-songs
Juicy,Doja Cat & Tyga,44,hip-hop-rb-songs
Wishing Well,Juice WRLD,45,hip-hop-rb-songs
P*$$y Fairy (OTW),Jhene Aiko,46,hip-hop-rb-songs
BEST ON EARTH,Russ & BIA,47,hip-hop-rb-songs
Said Sum,Moneybagg Yo,48,hip-hop-rb-songs
Walk Em Down,NLE Choppa Featuring Roddy Ricch,49,hip-hop-rb-songs
Out West,JACKBOYS Featuring Young Thug,50,hip-hop-rb-songs
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,51,hip-hop-rb-songs
Panini,Lil Nas X,52,hip-hop-rb-songs
Tap In,Saweetie,53,hip-hop-rb-songs
Girls In The Hood,Megan Thee Stallion,54,hip-hop-rb-songs
Like That,Doja Cat Featuring Gucci Mane,55,hip-hop-rb-songs
Righteous,Juice WRLD,56,hip-hop-rb-songs
On Chill,Wale Featuring Jeremih,57,hip-hop-rb-songs
VIBEZ,DaBaby,58,hip-hop-rb-songs
Futsal Shuffle 2020,Lil Uzi Vert,59,hip-hop-rb-songs
After Party,Don Toliver,60,hip-hop-rb-songs
Gooba,6ix9ine,61,hip-hop-rb-songs
Greece,DJ Khaled Featuring Drake,62,hip-hop-rb-songs
Dollaz On My Head,Gunna Featuring Young Thug,63,hip-hop-rb-songs
Playing Games,Summer Walker,64,hip-hop-rb-songs
Chicago Freestyle,Drake Featuring Giveon,65,hip-hop-rb-songs
B.S.,Jhene Aiko Featuring H.E.R.,66,hip-hop-rb-songs
Baby,Lil Baby & DaBaby,67,hip-hop-rb-songs
Truth Hurts,Lizzo,68,hip-hop-rb-songs
Need It,Migos Featuring YoungBoy Never Broke Again,69,hip-hop-rb-songs
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,70,hip-hop-rb-songs
Heat,Chris Brown Featuring Gunna,71,hip-hop-rb-songs
Make No Sense,YoungBoy Never Broke Again,72,hip-hop-rb-songs
No Idea,Don Toliver,73,hip-hop-rb-songs
What You Know Bout Love,Pop Smoke,74,hip-hop-rb-songs
Believe It,PARTYNEXTDOOR & Rihanna,75,hip-hop-rb-songs
Camelot,NLE Choppa,76,hip-hop-rb-songs
Smile,Juice WRLD & The Weeknd,77,hip-hop-rb-songs
That Way,Lil Uzi Vert,78,hip-hop-rb-songs
Don't Rush,Young T & Bugsey Featuring Headie One,79,hip-hop-rb-songs
Got It On Me,Pop Smoke,80,hip-hop-rb-songs
Come Thru,Summer Walker & Usher,81,hip-hop-rb-songs
24,Money Man Featuring Lil Baby,82,hip-hop-rb-songs
Flex,Polo G Featuring Juice WRLD,83,hip-hop-rb-songs
Jerry Sprunger,Tory Lanez & T-Pain,84,hip-hop-rb-songs
Easy,DaniLeigh Featuring Chris Brown,85,hip-hop-rb-songs
Start Wit Me,Roddy Ricch & Gunna,86,hip-hop-rb-songs
Franchise,Travis Scott Featuring Young Thug & M.I.A.,87,hip-hop-rb-songs
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,88,hip-hop-rb-songs
Girl Of My Dreams,Rod Wave,89,hip-hop-rb-songs
Martin & Gina,Polo G,90,hip-hop-rb-songs
Turks,"NAV, Gunna & Travis Scott",91,hip-hop-rb-songs
Do It,Chloe X Halle,92,hip-hop-rb-songs
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",93,hip-hop-rb-songs
B.I.T.C.H.,Megan Thee Stallion,94,hip-hop-rb-songs
Grace,Lil Baby & 42 Dugg,95,hip-hop-rb-songs
Kacey Talk,YoungBoy Never Broke Again,96,hip-hop-rb-songs
223's,YNW Melly & 9lokknine,97,hip-hop-rb-songs
Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,98,hip-hop-rb-songs
Myron,Lil Uzi Vert,99,hip-hop-rb-songs
Enemies,Post Malone Featuring DaBaby,100,hip-hop-rb-songs
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,hip-hop-rb-songs
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2,hip-hop-rb-songs
Astronaut In The Ocean,Masked Wolf,3,hip-hop-rb-songs
Up,Cardi B,4,hip-hop-rb-songs
Go Crazy,Chris Brown & Young Thug,5,hip-hop-rb-songs
Industry Baby,Lil Nas X & Jack Harlow,6,hip-hop-rb-songs
Rapstar,Polo G,7,hip-hop-rb-songs
Blinding Lights,The Weeknd,8,hip-hop-rb-songs
Calling My Phone,Lil Tjay Featuring 6LACK,9,hip-hop-rb-songs
Heartbreak Anniversary,Giveon,10,hip-hop-rb-songs
What You Know Bout Love,Pop Smoke,11,hip-hop-rb-songs
Best Friend,Saweetie Featuring Doja Cat,12,hip-hop-rb-songs
Wants And Needs,Drake Featuring Lil Baby,13,hip-hop-rb-songs
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,14,hip-hop-rb-songs
Wockesha,Moneybagg Yo,15,hip-hop-rb-songs
On Me,Lil Baby,16,hip-hop-rb-songs
You Right,Doja Cat & The Weeknd,17,hip-hop-rb-songs
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,18,hip-hop-rb-songs
Way 2 Sexy,Drake Featuring Future & Young Thug,19,hip-hop-rb-songs
Whoopty,CJ,20,hip-hop-rb-songs
Good Days,SZA,21,hip-hop-rb-songs
Body,Megan Thee Stallion,22,hip-hop-rb-songs
Back In Blood,Pooh Shiesty Featuring Lil Durk,23,hip-hop-rb-songs
You're Mines Still,Yung Bleu Featuring Drake,24,hip-hop-rb-songs
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,25,hip-hop-rb-songs
Laugh Now Cry Later,Drake Featuring Lil Durk,26,hip-hop-rb-songs
Time Today,Moneybagg Yo,27,hip-hop-rb-songs
Essence,Wizkid Featuring Justin Bieber & Tems,28,hip-hop-rb-songs
What's Next,Drake,29,hip-hop-rb-songs
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,30,hip-hop-rb-songs
Streets,Doja Cat,31,hip-hop-rb-songs
Late At Night,Roddy Ricch,32,hip-hop-rb-songs
Thot Shit,Megan Thee Stallion,33,hip-hop-rb-songs
Cry Baby,Megan Thee Stallion Featuring DaBaby,34,hip-hop-rb-songs
Track Star,Mooski,35,hip-hop-rb-songs
No More Parties,Coi Leray Featuring Lil Durk,36,hip-hop-rb-songs
Knife Talk,Drake Featuring 21 Savage & Project Pat,37,hip-hop-rb-songs
Tombstone,Rod Wave,38,hip-hop-rb-songs
Throat Baby (Go Baby),BRS Kash,39,hip-hop-rb-songs
Girls Want Girls,Drake Featuring Lil Baby,40,hip-hop-rb-songs
Whole Lotta Money,BIA Featuring Nicki Minaj,41,hip-hop-rb-songs
WAP,Cardi B Featuring Megan Thee Stallion,42,hip-hop-rb-songs
my.life,"J. Cole, 21 Savage & Morray",43,hip-hop-rb-songs
Ski,Young Thug & Gunna,44,hip-hop-rb-songs
Damage,H.E.R.,45,hip-hop-rb-songs
Wild Side,Normani Featuring Cardi B,46,hip-hop-rb-songs
Fair Trade,Drake Featuring Travis Scott,47,hip-hop-rb-songs
Ain't Shit,Doja Cat,48,hip-hop-rb-songs
Rockstar,DaBaby Featuring Roddy Ricch,49,hip-hop-rb-songs
Tyler Herro,Jack Harlow,50,hip-hop-rb-songs
Holiday,Lil Nas X,51,hip-hop-rb-songs
Quicksand,Morray,52,hip-hop-rb-songs
2055,Sleepy Hallow,53,hip-hop-rb-songs
Street Runner,Rod Wave,54,hip-hop-rb-songs
Hurricane,Kanye West,55,hip-hop-rb-songs
Pick Up Your Feelings,Jazmine Sullivan,56,hip-hop-rb-songs
4 Da Gang,42 Dugg & Roddy Ricch,57,hip-hop-rb-songs
Masterpiece,DaBaby,58,hip-hop-rb-songs
Straightenin,Migos,59,hip-hop-rb-songs
Come Through,H.E.R. Featuring Chris Brown,60,hip-hop-rb-songs
Miss The Rage,Trippie Redd & Playboi Carti,61,hip-hop-rb-songs
Gyalis,Capella Grey,62,hip-hop-rb-songs
Drankin N Smokin,Future & Lil Uzi Vert,63,hip-hop-rb-songs
Took Her To The O,King Von,64,hip-hop-rb-songs
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,65,hip-hop-rb-songs
Family Ties,Baby Keem & Kendrick Lamar,66,hip-hop-rb-songs
Buss It,Erica Banks,67,hip-hop-rb-songs
Champagne Poetry,Drake,68,hip-hop-rb-songs
Woman,Doja Cat,69,hip-hop-rb-songs
Motley Crew,Post Malone,70,hip-hop-rb-songs
Back To The Streets,Saweetie Featuring Jhene Aiko,71,hip-hop-rb-songs
Rumors,Lizzo Featuring Cardi B,72,hip-hop-rb-songs
Moonwalking In Calabasas,DDG,73,hip-hop-rb-songs
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,74,hip-hop-rb-songs
Said Sum,Moneybagg Yo,75,hip-hop-rb-songs
pride.is.the.devil,J. Cole & Lil Baby,76,hip-hop-rb-songs
Still Trappin',Lil Durk & King Von,77,hip-hop-rb-songs
Hats Off,"Lil Baby, Lil Durk & Travis Scott",78,hip-hop-rb-songs
No Friends In The Industry,Drake,79,hip-hop-rb-songs
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",80,hip-hop-rb-songs
In The Bible,Drake Featuring Lil Durk & Giveon,81,hip-hop-rb-songs
Solid,Young Thug & Gunna Featuring Drake,82,hip-hop-rb-songs
B.S.,Jhene Aiko Featuring H.E.R.,83,hip-hop-rb-songs
Lemon Pepper Freestyle,Drake Featuring Rick Ross,84,hip-hop-rb-songs
Get Into It (Yuh),Doja Cat,85,hip-hop-rb-songs
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),86,hip-hop-rb-songs
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,87,hip-hop-rb-songs
Hellcats & Trackhawks,Lil Durk,88,hip-hop-rb-songs
You Got It,VEDO,89,hip-hop-rb-songs
Hit Different,SZA Featuring Ty Dolla $ign,90,hip-hop-rb-songs
TSU,Drake,91,hip-hop-rb-songs
Love All,Drake Featuring JAY-Z,92,hip-hop-rb-songs
Twerkulator,City Girls,93,hip-hop-rb-songs
Maybach,42 Dugg Featuring Future,94,hip-hop-rb-songs
Have Mercy,Chloe,95,hip-hop-rb-songs
Ball If I Want To,DaBaby,96,hip-hop-rb-songs
N 2 Deep,Drake Featuring Future,97,hip-hop-rb-songs
