title,artist,rank,genre
Glorious Unfolding,Steven Curtis Chapman,53,christian
You Carry Me,Moriah Peters,54,christian
Come Alive,Jeremy Camp,55,christian
You Can't Stop Me,Andy Mineo,56,christian
Made New,Lincoln Brewster,57,christian
Beautiful,Dan Bremnes,58,christian
The Broken Beautiful,Ellie Holcomb,59,christian
Fear,Lecrae,60,christian
Love Take Me Over,Steven Curtis Chapman,61,christian
Wake,Hillsong Young & Free,62,christian
Today Is Beautiful,David Dunn,63,christian
Difference Maker,NEEDTOBREATHE,64,christian
Completely,Among The Thirsty,65,christian
The Heart,NEEDTOBREATHE,66,christian
Ready Set Go,Royal Tailor Featuring Capital Kings,67,christian
Who We Are,Switchfoot,68,christian
The One I'm Running To,7eventh Time Down,69,christian
Break Every Chain,The Digital Age,70,christian
Lord I'm Ready Now,Plumb,71,christian
Hold You Up,Shane Harper,72,christian
I'm Turnt,Lecrae,73,christian
Sick Of It,Skillet,74,christian
Songs Of The Year 2014 Mash-Up,Anthem Lights,75,christian
Closer To Your Heart,Natalie Grant,76,christian
Say Amen,Finding Favour,77,christian
Take The Bullets Away,We As Human Featuring Lacey Sturm,78,christian
Messengers,Lecrae Featuring for KING & COUNTRY,79,christian
No One Higher,Aaron Shust,80,christian
Thank God I Got Her,Jonny Diaz,81,christian
Here For A Reason,Ashes Remain,82,christian
Lay It Down,Sanctus Real,83,christian
He Knows,Jeremy Camp,84,christian
When We Come Alive,Switchfoot,85,christian
You're Not Alone,Owl City Featuring Britt Nicole,86,christian
No Other Name,Hillsong Worship,87,christian
This I Believe (The Creed),Hillsong Worship,88,christian
God's Great Dance Floor,Chris Tomlin,89,christian
In Christ Alone,Passion Featuring Kristian Stanfill,90,christian
Relentless,Hillsong UNITED,91,christian
I Can Just Be Me,Laura Story,92,christian
You Amaze Us,Selah,93,christian
Fire And Fury,Skillet,94,christian
We Are Brave,Shawn McDonald,95,christian
Architecture,Jonathan Thulin,96,christian
"Hello, My Name Is",Matthew West,97,christian
Never Once,one sonic society,98,christian
Outsiders,Lecrae,99,christian
Wasteland,NEEDTOBREATHE,100,christian
Something In The Water,Carrie Underwood,1,christian
Oceans (Where Feet May Fail),Hillsong UNITED,2,christian
Brother,NEEDTOBREATHE Featuring Gavin DeGraw,3,christian
Soul On Fire,Third Day Featuring All Sons & Daughters,4,christian
Flawless,MercyMe,5,christian
Touch The Sky,Hillsong UNITED,6,christian
Holy Spirit,Francesca Battistelli,7,christian
Shoulders,for KING & COUNTRY,8,christian
Greater,MercyMe,9,christian
Drops In The Ocean,Hawk Nelson,10,christian
Because He Lives (Amen),Matt Maher,11,christian
First,Lauren Daigle,12,christian
How Can It Be,Lauren Daigle,13,christian
Even So Come,Passion Featuring Kristian Stanfill,14,christian
At The Cross (Love Ran Red),Chris Tomlin,15,christian
He Knows My Name,Francesca Battistelli,16,christian
Come As You Are,Crowder,17,christian
Feel It,tobyMac Featuring Mr. Talkbox,18,christian
Through All Of It,Colton Dixon,19,christian
Beyond Me,tobyMac,20,christian
Day One,Matthew West,21,christian
He Knows,Jeremy Camp,22,christian
I Am Not Alone,Kari Jobe,23,christian
Broken Together,Casting Crowns,24,christian
Same Power,Jeremy Camp,25,christian
Jesus Loves Me,Chris Tomlin,26,christian
"That Was Then, This Is Now",Josh Wilson,27,christian
Lift Your Head Weary Sinner (Chains),Crowder,28,christian
Exhale,Plumb,29,christian
My Story,Big Daddy Weave,30,christian
Overwhelmed,Big Daddy Weave,31,christian
Just Be Held,Casting Crowns,32,christian
Cast My Cares,Finding Favour,33,christian
Prodigal,Sidewalk Prophets,34,christian
There Is Power,Lincoln Brewster,35,christian
Who I Am,Blanca,36,christian
Good Fight,Unspoken,37,christian
Air I Breathe,Mat Kearney,38,christian
Lord I'm Ready Now,Plumb,39,christian
Impossible,Building 429,40,christian
The River,Jordan Feliz,41,christian
Good Good Father,Chris Tomlin,42,christian
Something Beautiful,Steven Curtis Chapman,43,christian
The Old Rugged Cross,Craig Wayne Boyd,44,christian
You Will Never Run,Rend Collective,45,christian
This Is Living,Hillsong Young & Free Featuring Lecrae,46,christian
I'll Keep On,NF Featuring Jeremiah Carlson,47,christian
Save My Life,Sidewalk Prophets,48,christian
The Maker,Chris August,49,christian
No Turning Back,Brandon Heath,50,christian
Oceans (Where Feet May Fail),Hillsong UNITED,1,christian
Trust In You,Lauren Daigle,2,christian
Good Good Father,Chris Tomlin,3,christian
Thy Will,Hillary Scott & The Scott Family,4,christian
Tell Your Heart To Beat Again,Danny Gokey,5,christian
Eye Of The Storm,Ryan Stevenson Featuring GabeReal,6,christian
Breathe,Jonny Diaz,7,christian
The River,Jordan Feliz,8,christian
Priceless,for KING & COUNTRY,9,christian
Just Be Held,Casting Crowns,10,christian
Feel Invincible,Skillet,11,christian
God Is On The Move,7eventh Time Down,12,christian
Move (Keep Walkin'),tobyMac,13,christian
Dear Younger Me,MercyMe,14,christian
Christ In Me,Jeremy Camp,15,christian
The God I Know,Love & The Outcome,16,christian
Chain Breaker,Zach Williams,17,christian
It's Not Over Yet,for KING & COUNTRY,18,christian
Grace Wins,Matthew West,19,christian
You Are Loved,Stars Go Dim,20,christian
If We're Honest,Francesca Battistelli,21,christian
Happiness,NEEDTOBREATHE,22,christian
The Lion And The Lamb,Big Daddy Weave,23,christian
Diamonds,Hawk Nelson,24,christian
Ever Be,Aaron Shust,25,christian
Never Too Far Gone,Jordan Feliz,26,christian
My Story,Big Daddy Weave,27,christian
One Step Away,Casting Crowns,28,christian
Great Is Thy Faithfulness,Jordan Smith,29,christian
Mary Did You Know,Jordan Smith,30,christian
Jesus,Chris Tomlin,31,christian
Fierce,Jesus Culture Featuring Chris Quilala,32,christian
Sparrows,Jason Gray,33,christian
Your Love Awakens Me,Phil Wickham,34,christian
Everything Comes Alive,We Are Messengers,35,christian
Alone,Hollyn Featuring TRU,36,christian
Mended,Matthew West,37,christian
Great Are You Lord,one sonic society,38,christian
Same Power,Jeremy Camp,39,christian
Slow Down,Nichole Nordeman,40,christian
When I'm With You,Citizen Way,41,christian
My Victory,Crowder,42,christian
King Of The World,Natalie Grant,43,christian
What You Want,Tenth Avenue North,44,christian
Hallelujah,Jordan Smith,45,christian
Guilty,newsboys,46,christian
Higher,Unspoken,47,christian
Call It Grace,Unspoken,48,christian
Live It Well,Switchfoot,49,christian
O Come To The Altar,Elevation Worship,50,christian
What A Beautiful Name,Hillsong Worship,1,christian
Even If,MercyMe,2,christian
I'll Find You,Lecrae Featuring Tori Kelly,3,christian
Chain Breaker,Zach Williams,4,christian
Oh My Soul,Casting Crowns,5,christian
O Come To The Altar,Elevation Worship,6,christian
Hills And Valleys,Tauren Wells,7,christian
Old Church Choir,Zach Williams,8,christian
Blessings,Lecrae Featuring Ty Dolla $ign,9,christian
Oceans (Where Feet May Fail),Hillsong UNITED,10,christian
Love Broke Thru,tobyMac,11,christian
Home,Chris Tomlin,12,christian
Broken Things,Matthew West,13,christian
I Have This Hope,Tenth Avenue North,14,christian
Unfinished,Mandisa,15,christian
Hard Love,NEEDTOBREATHE,16,christian
Testify,NEEDTOBREATHE,17,christian
Bulletproof,Citizen Way,18,christian
The Gospel,Ryan Stevenson,19,christian
Beloved,Jordan Feliz,20,christian
The Comeback,Danny Gokey,21,christian
Thy Will,Hillary Scott & The Scott Family,22,christian
Forgiven,Crowder,23,christian
Never Been A Moment,Micah Tyler,24,christian
Rise,Danny Gokey,25,christian
Word Of Life,Jeremy Camp,26,christian
Wonder,Hillsong UNITED,27,christian
Come Alive (Dry Bones),Lauren Daigle,28,christian
Magnify,We Are Messengers,29,christian
Back To God,Reba McEntire & Lauren Daigle,30,christian
King Of The World,Natalie Grant,31,christian
The Cure,Unspoken,32,christian
Different,Micah Tyler,33,christian
Whole Heart,Brandon Heath,34,christian
O God Forgive Us,for KING & COUNTRY Featuring KB,35,christian
I Wanna Go Back,David Dunn,36,christian
Point To You,We Are Messengers,37,christian
O'Lord,Lauren Daigle,38,christian
King Of My Heart,Kutless,39,christian
Fearless,Jasmine Murray,40,christian
Live Like You're Loved,Hawk Nelson,41,christian
When I Pray For You,Dan + Shay,42,christian
Feel Invincible,Skillet,43,christian
Great Are You Lord,one sonic society,44,christian
Your Love Defends Me,Matt Maher,45,christian
Clean,Natalie Grant,46,christian
The Lion And The Lamb,Big Daddy Weave,47,christian
All That Matters,Colton Dixon,48,christian
Throne Room,Kim Walker-Smith,49,christian
Jesus,Chris Tomlin,50,christian
Giants Fall,Francesca Battistelli,51,christian
Lions,Skillet,52,christian
Hammer Time,Lecrae Featuring 1K Phew,53,christian
Only King Forever,7eventh Time Down,54,christian
Priceless,for KING & COUNTRY,55,christian
So Will I (100 Billion X),Hillsong UNITED,56,christian
God Help Me,Plumb,57,christian
Still,Hillary Scott & The Scott Family,58,christian
The Cross Has The Final Word,newsboys Featuring With Peter Furler,59,christian
In Awe,Hollyn,60,christian
Let You Down,NF,61,christian
Do It Again,Elevation Worship,62,christian
One Step Away,Casting Crowns,63,christian
Keep Your Eyes On Me,Tim McGraw & Faith Hill,64,christian
Can't Live Without,Hollyn,65,christian
Glorious Day,Passion Featuring Kristian Stanfill,66,christian
Rescuer (Good News),Rend Collective,67,christian
Bleed The Same,Mandisa Featuring tobyMac,68,christian
Mended,Matthew West,69,christian
There Is A Cloud,Elevation Worship,70,christian
Eye Of The Storm,Ryan Stevenson Featuring GabeReal,71,christian
All My Hope,Crowder Featuring Tauren Wells,72,christian
Control (Somehow You Want Me),Tenth Avenue North,73,christian
Be The Change.,Britt Nicole,74,christian
Green Lights,NF,75,christian
Revival,Third Day,76,christian
Tell Me,Carrollton,77,christian
Jesus I Believe,Big Daddy Weave,78,christian
Spirit Of The Living God,Meredith Andrews,79,christian
Warm Up,NF,80,christian
Battles,The Afters,81,christian
Me And Jesus,Sundance Head,82,christian
Stars,Skillet,83,christian
Through Your Eyes,Britt Nicole,84,christian
Outro,NF,85,christian
King Of My Heart,"Bethel Music, Steffany Gretzinger & Jeremy Riddle",86,christian
My Victory,Crowder,87,christian
Find You Here,Ellie Holcomb,88,christian
Jesus I Need You,Hillsong Worship,89,christian
Fullness,Elevation Worship,90,christian
Falling Into You,Hillsong Young & Free,91,christian
Love Won't Let Me Down,Hillsong Young & Free,92,christian
Love Is On Our Side,Capital Kings,93,christian
Grindin',NF Featuring Marty,94,christian
Broke,Lecrae,95,christian
My All In All,Phil Wickham,96,christian
Open Hands,Laura Story Featuring Mac Powell,97,christian
Watchu Mean,Lecrae Featuring Aha Gazelle,98,christian
Hallelujah,Lindsey Stirling,99,christian
Tremble,Mosaic MSC,100,christian
Reckless Love,Cory Asbury,1,christian
You Say,Lauren Daigle,2,christian
I Just Need U.,tobyMac,3,christian
Who You Say I Am,Hillsong Worship,4,christian
joy.,for KING & COUNTRY,5,christian
Grace Got You,MercyMe,6,christian
Fear Is A Liar,Zach Williams,7,christian
So Will I (100 Billion X),Hillsong UNITED,8,christian
I Can Only Imagine,MercyMe,9,christian
What A Beautiful Name,Hillsong Worship,10,christian
Do It Again,Elevation Worship,11,christian
All My Hope,Crowder Featuring Tauren Wells,12,christian
O'Lord,Lauren Daigle,13,christian
The Breakup Song,Francesca Battistelli,14,christian
Resurrection Power,Chris Tomlin,15,christian
Known,Tauren Wells,16,christian
Control (Somehow You Want Me),Tenth Avenue North,17,christian
Head Above Water,Avril Lavigne,18,christian
O Come To The Altar,Elevation Worship,19,christian
Counting Every Blessing,Rend Collective,20,christian
No Matter What,Ryan Stevenson Featuring Bart Millard,21,christian
God Of All My Days,Casting Crowns,22,christian
Everything,tobyMac,23,christian
The Way (New Horizon),Pat Barrett,24,christian
Old Church Choir,Zach Williams,25,christian
When We Pray,Tauren Wells,26,christian
Witness,Jordan Feliz,27,christian
Freedom Hymn,Austin French,28,christian
What A Friend,Matt Maher,29,christian
Different,Micah Tyler,30,christian
Living Hope,Phil Wickham,31,christian
Even Then,Micah Tyler,32,christian
All In,Matthew West,33,christian
Even If,MercyMe,34,christian
Confidence,Sanctus Real,35,christian
More Than Anything,Natalie Grant,36,christian
Heaven On Earth,Stars Go Dim,37,christian
Walking On Water,NEEDTOBREATHE,38,christian
Bleed The Same,Mandisa Featuring tobyMac,39,christian
Come To The Table,Sidewalk Prophets,40,christian
So Will I (100 Billion X),Hillsong Worship,41,christian
Only Jesus,Casting Crowns,42,christian
Jesus I Believe,Big Daddy Weave,43,christian
Broken Things,Matthew West,44,christian
Broken Prayers,Riley Clemmons,45,christian
Dream Small,Josh Wilson,46,christian
Still Rolling Stones,Lauren Daigle,47,christian
Death Was Arrested,North Point InsideOut Featuring Seth Condrey,48,christian
Gracefully Broken,Matt Redman Featuring Tasha Cobbs Leonard,49,christian
Look Up Child,Lauren Daigle,50,christian
Just Give Me Jesus,Unspoken,51,christian
Beautiful Day,Mike Smith & Jonathan Hay,52,christian
Wherever I Go,Dan Bremnes,53,christian
He Still Does (Miracles),Hawk Nelson,54,christian
Miracle,Unspoken,55,christian
Good News,Mandisa,56,christian
Rescue,Lauren Daigle,57,christian
Rescuer (Good News),Rend Collective,58,christian
Point To You,We Are Messengers,59,christian
Stand In Your Love,Josh Baldwin,60,christian
Masterpiece,Danny Gokey,61,christian
Warrior,Hannah Kerr,62,christian
My Feet Are On The Rock,I AM THEY,63,christian
I Can Only Imagine (The Movie Session),MercyMe,64,christian
New Wine,Hillsong Worship,65,christian
No One Like Our God,Lincoln Brewster,66,christian
Tremble,Mosaic MSC,67,christian
I'll Find You,Lecrae Featuring Tori Kelly,68,christian
Never Alone,Tori Kelly Featuring Kirk Franklin,69,christian
If You Ain't In It,Danny Gokey,70,christian
Till I Found You,Phil Wickham,71,christian
Word Of Life,Jeremy Camp,72,christian
Beautifully Broken,Plumb,73,christian
Gotta Live,Tedashii Featuring Jordan Feliz,74,christian
Forever On Your Side,NEEDTOBREATHE Featuring JOHNNYSWIM,75,christian
Nobody Loves Me Like You,Chris Tomlin,76,christian
The Answer,Jeremy Camp,77,christian
God Only Knows,for KING & COUNTRY,78,christian
Your Love Defends Me,Matt Maher,79,christian
Shelter,Carrollton,80,christian
Let Go,Hillsong Young & Free,81,christian
Face To Face,Mat Kearney,82,christian
Touch Of Heaven,Hillsong Worship,83,christian
God Help Me,Plumb,84,christian
Right On Time,Aaron Cole Featuring tobyMac,85,christian
Amazing Grace,Brooke Simpson,86,christian
War Cry,Social Club Misfits Featuring Tauren Wells,87,christian
Survivor,Zach Williams,88,christian
Love Like This,Lauren Daigle,89,christian
Reckless Love,Passion Featuring Melodie Malone,90,christian
This Girl,Lauren Daigle,91,christian
Here Again,Elevation Worship,92,christian
O Holy Night,Brooke Simpson,93,christian
Surrounded (Fight My Battles),Michael W. Smith,94,christian
Little Drummer Boy (Live From Phoenix),for KING & COUNTRY,95,christian
Fight For Me,GAWVI Featuring Lecrae,96,christian
Won't Stop Now,Elevation Worship,97,christian
Hard Love,NEEDTOBREATHE,98,christian
Broke,Lecrae,99,christian
Happy Dance,MercyMe,100,christian
You Say,Lauren Daigle,1,christian
God Only Knows,for KING & COUNTRY,2,christian
Raise A Hallelujah,"Bethel Music, Jonathan David Helser & Melissa Helser",3,christian
Rescue,Lauren Daigle,4,christian
Haven't Seen It Yet,Danny Gokey,5,christian
Who You Say I Am,Hillsong Worship,6,christian
Only Jesus,Casting Crowns,7,christian
Resurrecting,Elevation Worship,8,christian
Nobody,Casting Crowns Featuring Matthew West,9,christian
Scars,I AM THEY,10,christian
Look Up Child,Lauren Daigle,11,christian
God's Not Done With You,Tauren Wells,12,christian
Symphony,Switch Featuring Dillon Chase,13,christian
Maybe It's Ok,We Are Messengers,14,christian
Yes I Will,Vertical Worship,15,christian
Best News Ever,MercyMe,16,christian
Known,Tauren Wells,17,christian
Build My Life,Pat Barrett,18,christian
Stand In Your Love,Josh Baldwin,19,christian
Dead Man Walking,Jeremy Camp,20,christian
Follow God,Kanye West,21,christian
Reckless Love,Cory Asbury,22,christian
Head Above Water,Avril Lavigne,23,christian
Reason,Unspoken,24,christian
Alive,Big Daddy Weave,25,christian
Let It Rain (Is There Anybody),Crowder Featuring Mandisa,26,christian
Red Letters,Crowder,27,christian
Church (Take Me Back),Cochren & Co.,28,christian
Till I Found You,Phil Wickham,29,christian
Rescue Story,Zach Williams,30,christian
The Christmas Song,Lauren Daigle,31,christian
Everything,tobyMac,32,christian
Even Then,Micah Tyler,33,christian
Greatness Of Our God,newsboys,34,christian
Fear No More,Building 429,35,christian
Closed On Sunday,Kanye West,36,christian
Is He Worthy?,Chris Tomlin,37,christian
joy.,for KING & COUNTRY,38,christian
With Lifted Hands,Ryan Stevenson,39,christian
Fighting For Me,Riley Clemmons,40,christian
Selah,Kanye West,41,christian
Survivor,Zach Williams,42,christian
On God,Kanye West,43,christian
Prize Worth Fighting For,Jamie Kimmett,44,christian
Burn The Ships,for KING & COUNTRY,45,christian
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,46,christian
I'm Gonna Let It Go,Jason Gray,47,christian
Whole Heart (Hold Me Now),Hillsong UNITED,48,christian
Use This Gospel,Kanye West Featuring Clipse & Kenny G,49,christian
Changed,Jordan Feliz,50,christian
Legendary,Skillet,51,christian
God Is,Kanye West,52,christian
Well Done,The Afters,53,christian
Another In The Fire,Hillsong UNITED & TAYA,54,christian
Good Grace,Hillsong UNITED,55,christian
Confidence,Sanctus Real,56,christian
Defender,Francesca Battistelli Featuring Steffany Gretzinger,57,christian
Up Again,Dan Bremnes,58,christian
Water,Kanye West Featuring Ant Clemons,59,christian
Power,We Are Messengers,60,christian
Nobody Loves Me Like You,Chris Tomlin,61,christian
Hands On,Kanye West Featuring Fred Hammond,62,christian
King Of Kings,Hillsong Worship,63,christian
Believer,Rhett Walker,64,christian
Born Again,Austin French,65,christian
Never Alone,Tori Kelly Featuring Kirk Franklin,66,christian
See A Victory,Elevation Worship,67,christian
Jesus Is Lord,Kanye West,68,christian
Nothing Else,Cody Carnes,69,christian
Split The Sea,Hannah Kerr,70,christian
Living Hope,Phil Wickham,71,christian
The God Who Stays,Matthew West,72,christian
As You Find Me,Hillsong UNITED,73,christian
Unstoppable God,Sanctus Real,74,christian
Greater Things,Mack Brock,75,christian
Greater Than All My Regrets,Tenth Avenue North,76,christian
Anchor,Skillet,77,christian
You Know Me Better,Stars Go Dim,78,christian
Still Rolling Stones,Lauren Daigle,79,christian
Ain't No Grave (Live),Bethel Music & Molly Skaggs,80,christian
Wherever I Go,Dan Bremnes,81,christian
Highlands (Song Of Ascent),Hillsong UNITED,82,christian
Surrounded (Fight My Battles),UPPERROOM,83,christian
Your Name Is Power,Rend Collective,84,christian
Goodness Of God (Live),Bethel Music & Jenn Johnson,85,christian
Why God,Austin French,86,christian
Mercy Is A Song,Matthew West,87,christian
Faith,Jordan Feliz,88,christian
The Breakup Song,Francesca Battistelli,89,christian
Native Tongue,Switchfoot,90,christian
Holy Water,We The Kingdom,91,christian
Let The Redeemed,Josh Baldwin,92,christian
Better,Pat Barrett,93,christian
With You (Paradoxology),Elevation Worship,94,christian
Gold,Apollo LTD,95,christian
Love Lifting Me,Tasha Layton,96,christian
Love Like This,Lauren Daigle,97,christian
My Defender,Jeremy Camp,98,christian
Run To The Father,Cody Carnes,99,christian
Forever On Your Side,NEEDTOBREATHE Featuring JOHNNYSWIM,100,christian
You Say,Lauren Daigle,1,christian
Holy Water,We The Kingdom,2,christian
The Blessing: Live,"Kari Jobe, Cody Carnes & Elevation Worship",3,christian
Follow God,Kanye West,4,christian
There Was Jesus,Zach Williams & Dolly Parton,5,christian
The Father's House,Cory Asbury,6,christian
Together,"for KING & COUNTRY, Kirk Franklin & Tori Kelly",7,christian
Nobody,Casting Crowns Featuring Matthew West,8,christian
Almost Home,MercyMe,9,christian
See A Victory,Elevation Worship,10,christian
Keep Me In The Moment,Jeremy Camp,11,christian
Waymaker,Michael W. Smith Featuring Vanessa Campagna & Madelyn Berry,12,christian
Rescue,Lauren Daigle,13,christian
The God Who Stays,Matthew West,14,christian
Burn The Ships,for KING & COUNTRY,15,christian
I Know,Big Daddy Weave,16,christian
Alive & Breathing,Matt Maher Featuring Elle Limebear,17,christian
Graves Into Gardens,Elevation Worship Featuring Brandon Lake,18,christian
Love God Love People,Danny Gokey,19,christian
Rescue Story,Zach Williams,20,christian
Famous For (I Believe),Tauren Wells Featuring Jenn Johnson,21,christian
Who You Are To Me,Chris Tomlin Featuring Lady A,22,christian
Way Maker (Live),Leeland,23,christian
God So Loved,We The Kingdom,24,christian
Amen,Micah Tyler,25,christian
Still Rolling Stones,Lauren Daigle,26,christian
One Day,Cochren & Co.,27,christian
Amadeo (Still My God),Ryan Stevenson,28,christian
Love Moved First,Casting Crowns,29,christian
Into The Sea (It's Gonna Be OK),Tasha Layton,30,christian
Great Things,Phil Wickham,31,christian
Revolutionary,Josh Wilson,32,christian
Wash Us In The Blood,Kanye West Featuring Travis Scott,33,christian
Another In The Fire,Hillsong UNITED & TAYA,34,christian
Who Am I,NEEDTOBREATHE,35,christian
Closed On Sunday,Kanye West,36,christian
Love (Won't Let Go),We Are Messengers,37,christian
Rise Up (Lazarus),CAIN,38,christian
Believer,Rhett Walker,39,christian
Miracles,Colton Dixon,40,christian
King Of Kings,Hillsong Worship,41,christian
Peace Be Still,Hope Darst,42,christian
Faith,Jordan Feliz,43,christian
You've Always Been,Unspoken,44,christian
Your Name Is Power,Rend Collective,45,christian
I'm Leaning On You,Crowder Featuring Riley Clemmons,46,christian
Edge Of My Seat,tobyMac Featuring Cochren & Co.,47,christian
Dead Man Walking,Jeremy Camp,48,christian
Selah,Kanye West,49,christian
Like You Love Me,Tauren Wells,50,christian
Use This Gospel,Kanye West Featuring Clipse & Kenny G,51,christian
On God,Kanye West,52,christian
No Impossible With You,I AM THEY,53,christian
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,54,christian
God Is,Kanye West,55,christian
See The Light,tobyMac,56,christian
You Keep Hope Alive,Mandisa & Jon Reddick,57,christian
Evidence,Josh Baldwin,58,christian
Goodness Of God (Live),Bethel Music & Jenn Johnson,59,christian
21 Years,tobyMac,60,christian
Truth Be Told,Matthew West,61,christian
Thank You Lord,Chris Tomlin Featuring Thomas Rhett & Florida Georgia Line,62,christian
Smile,Sidewalk Prophets,63,christian
Rattle!,Elevation Worship,64,christian
I Will Fear No More,The Afters,65,christian
My Weapon,Natalie Grant,66,christian
Run To The Father,Cody Carnes,67,christian
Truth I'm Standing On,Leanna Crawford,68,christian
Water,Kanye West Featuring Ant Clemons,69,christian
Glorify,Jordan Feliz,70,christian
No Hold On Me,Matty Mullins,71,christian
Hands On,Kanye West Featuring Fred Hammond,72,christian
Man Of Your Word,Maverick City Music Featuring Chandler Moore & KJ Scriven,73,christian
Better,Pat Barrett,74,christian
Over And Over,Riley Clemmons,75,christian
Start Right Here,Casting Crowns,76,christian
Power,We Are Messengers,77,christian
You Got This,Love & The Outcome,78,christian
Set Me Free,Lecrae Featuring YK Osiris,79,christian
Let The Redeemed,Josh Baldwin,80,christian
Jesus Is Lord,Kanye West,81,christian
Legendary,Skillet,82,christian
Count Me In,Switch,83,christian
Way Maker,Mandisa,84,christian
Fighting For Me,Riley Clemmons,85,christian
Little Drummer Boy (Live From Phoenix),for KING & COUNTRY,86,christian
Wake Up Sleeper,Austin French,87,christian
Deep End,Lecrae,88,christian
This Is What We Live For,Big Daddy Weave,89,christian
Best Friends,Hillsong Young & Free,90,christian
